exec_name,company,end_year,ticker,avg_close_before,avg_close_after,price_change,percent_change,volatility_before,volatility_after,volatility_change,avg_close_before_3mo,avg_close_after_3mo,price_change_3mo,percent_change_3mo,volatility_before_3mo,volatility_after_3mo,volatility_change_3mo,avg_close_before_1mo,avg_close_after_1mo,price_change_1mo,percent_change_1mo,volatility_before_1mo,volatility_after_1mo,volatility_change_1mo,tic,execid,start_year,end_month,tenure_len
Terry Zink,FIFTH THIRD BANCORP,2009,FITB,16.5,7.07,-9.43,-57.15,5.88,3.15,-2.73,9.69,3.06,-6.63,-68.42,1.9,2.11,0.21,7.84,5.4,-2.44,-31.12,0.3,2.3,2.0,FITB,40306,2009,1,1
Frank Forrest,FIFTH THIRD BANCORP,2020,FITB,27.71,22.2,-5.51,-19.88,1.59,4.59,3.0,29.31,24.76,-4.55,-15.52,1.67,6.41,4.74,30.65,29.47,-1.18,-3.85,0.56,0.69,0.13,FITB,45408,2013,1,8
Carl Jones,REGIONS FINANCIAL CORP,2005,RF,33.14,33.92,0.78,2.35,1.57,1.45,-0.12,33.34,33.13,-0.21,-0.63,0.68,1.1,0.42,33.79,34.43,0.64,1.89,0.29,0.45,0.16,RF,4360,2000,7,6
Peter Miller,REGIONS FINANCIAL CORP,2005,RF,31.36,33.13,1.77,5.64,2.38,1.1,-1.28,34.86,33.01,-1.85,-5.31,0.72,0.89,0.17,35.31,33.62,-1.69,-4.79,0.28,1.11,0.83,RF,21314,2000,1,6
C. Ritter,REGIONS FINANCIAL CORP,2010,RF,4.92,7.08,2.16,43.9,1.01,0.77,-0.24,5.63,7.49,1.86,33.04,0.57,0.9,0.33,6.28,6.47,0.19,3.03,0.38,0.19,-0.19,RF,9132,2006,2,5
John White,REGIONS FINANCIAL CORP,2006,RF,33.13,35.73,2.6,7.85,1.1,1.45,0.35,33.03,34.64,1.61,4.87,1.54,0.85,-0.69,34.27,34.24,-0.03,-0.09,0.43,0.62,0.19,RF,23018,2006,1,1
George Edwards,REGIONS FINANCIAL CORP,2008,RF,30.98,13.73,-17.25,-55.68,4.9,5.85,0.95,23.76,21.63,-2.13,-8.96,2.08,1.39,-0.69,21.62,23.18,1.56,7.22,1.91,0.86,-1.05,RF,31009,2006,2,3
O. B. Hall,REGIONS FINANCIAL CORP,2018,RF,15.82,17.25,1.43,9.04,2.02,1.87,-0.15,18.95,18.73,-0.22,-1.16,0.74,0.42,-0.32,19.3,18.58,-0.72,-3.73,0.61,0.34,-0.27,RF,27616,2007,4,12
John Carson,REGIONS FINANCIAL CORP,2011,RF,7.02,5.72,-1.3,-18.52,0.8,1.54,0.74,6.47,7.38,0.91,14.06,0.65,0.26,-0.39,6.43,7.18,0.75,11.66,0.36,0.17,-0.19,RF,41170,2010,1,2
Robert Wilmers,M&T BANK CORP,2017,MTB,119.09,160.66,41.57,34.91,12.82,6.25,-6.57,135.33,161.83,26.5,19.58,15.6,5.33,-10.27,153.37,158.15,4.78,3.12,3.49,3.45,-0.04,MTB,362,2000,1,18
Robert Sadler,M&T BANK CORP,2006,MTB,115.37,112.51,-2.86,-2.48,4.96,7.34,2.38,121.51,120.74,-0.77,-0.63,1.56,1.19,-0.37,121.34,120.31,-1.03,-0.85,1.41,1.18,-0.23,MTB,9235,2000,11,7
Eugene Sheehy,M&T BANK CORP,2004,MTB,86.43,94.66,8.23,9.52,5.64,6.39,0.75,93.99,92.77,-1.22,-1.3,2.21,2.47,0.26,95.9,93.18,-2.72,-2.84,1.31,2.65,1.34,MTB,25940,2003,1,2
Jerry Grundhofer,US BANCORP,2006,USB,31.54,33.76,2.22,7.04,1.29,1.79,0.5,33.42,35.71,2.29,6.85,0.51,0.73,0.22,33.74,35.42,1.68,4.98,0.15,1.09,0.94,USB,886,2000,12,7
Jacques Nasser,FORD MOTOR CO,2001,F,26.2,23.41,-2.79,-10.65,2.07,4.92,2.85,24.65,27.88,3.23,13.1,1.04,1.14,0.1,23.65,26.95,3.3,13.95,0.62,1.08,0.46,F,12772,2000,1,2
Mark Fields,FORD MOTOR CO,2017,F,12.45,11.5,-0.95,-7.63,0.63,0.69,0.06,12.03,11.19,-0.84,-6.98,0.57,0.24,-0.33,11.33,11.01,-0.32,-2.82,0.13,0.14,0.01,F,29617,2003,5,15
Alan Mulally,FORD MOTOR CO,2014,F,16.36,15.78,-0.58,-3.55,0.76,1.04,0.28,16.27,17.05,0.78,4.79,0.49,0.66,0.17,16.86,17.49,0.63,3.74,0.25,0.28,0.03,F,16436,2006,7,9
Michael Bannister,FORD MOTOR CO,2007,F,7.7,8.14,0.44,5.71,0.72,0.59,-0.13,8.06,8.06,0.0,0.0,0.56,0.34,-0.22,7.36,8.04,0.68,9.24,0.29,0.29,0.0,F,32630,2006,1,2
Martin Flanagan,FRANKLIN RESOURCES INC,2005,BEN,21.12,30.07,8.95,42.38,2.77,2.4,-0.37,23.39,27.21,3.82,16.33,1.01,0.37,-0.64,24.41,27.3,2.89,11.84,0.54,0.45,-0.09,BEN,4457,2000,7,6
Jay Johnson,GENERAL DYNAMICS CORP,2012,GD,66.98,67.66,0.68,1.02,4.86,3.7,-1.16,69.32,64.28,-5.04,-7.27,3.31,1.27,-2.04,65.59,63.66,-1.93,-2.94,1.69,1.11,-0.58,GD,26000,2009,6,4
John Welch,GE AEROSPACE,2001,GE,248.36,208.38,-39.98,-16.1,20.38,22.49,2.11,254.01,215.59,-38.42,-15.13,15.51,13.15,-2.36,244.64,221.08,-23.56,-9.63,12.27,5.67,-6.6,GE,406,2000,1,2
Jeffrey Immelt,GE AEROSPACE,2017,GE,136.96,74.45,-62.51,-45.64,10.92,14.94,4.02,120.9,95.48,-25.42,-21.03,4.58,11.87,7.29,116.94,109.22,-7.72,-6.6,2.12,7.08,4.96,GE,20859,2000,10,18
Michael Neal,GE AEROSPACE,2012,GE,86.9,96.96,10.06,11.58,9.27,5.76,-3.51,78.31,91.98,13.67,17.46,4.13,2.33,-1.8,81.74,90.33,8.59,10.51,3.51,1.01,-2.5,GE,30799,2006,1,7
John Rice,GE AEROSPACE,2017,GE,136.96,74.45,-62.51,-45.64,10.92,14.94,4.02,120.9,95.48,-25.42,-21.03,4.58,11.87,7.29,116.94,109.22,-7.72,-6.6,2.12,7.08,4.96,GE,30800,2006,10,12
David Nissen,GE AEROSPACE,2008,GE,181.21,134.08,-47.13,-26.01,9.53,31.77,22.24,186.91,166.92,-19.99,-10.69,8.76,6.59,-2.17,177.5,168.47,-9.03,-5.09,1.84,4.45,2.61,GE,35053,2008,1,1
John Krenicki,GE AEROSPACE,2011,GE,79.22,86.9,7.68,9.69,5.76,9.27,3.51,80.25,95.87,15.62,19.46,3.73,4.56,0.83,84.22,91.79,7.57,8.99,2.88,3.94,1.06,GE,36881,2009,1,3
David Joyce,GE AEROSPACE,2019,GE,61.82,48.76,-13.06,-21.13,12.77,4.63,-8.14,45.15,47.13,1.98,4.39,11.02,3.96,-7.06,34.68,42.57,7.89,22.75,1.41,2.51,1.1,GE,50438,2016,1,4
Elizabeth Comstock,GE AEROSPACE,2017,GE,136.96,74.45,-62.51,-45.64,10.92,14.94,4.02,120.9,95.48,-25.42,-21.03,4.58,11.87,7.29,116.94,109.22,-7.72,-6.6,2.12,7.08,4.96,GE,50439,2016,10,2
John Flannery,GE AEROSPACE,2018,GE,74.45,47.11,-27.34,-36.72,14.94,6.45,-8.49,61.64,44.94,-16.7,-27.09,3.18,10.98,7.8,58.78,58.11,-0.67,-1.14,2.56,5.03,2.47,GE,54024,2017,10,2
Stephen Sanger,GENERAL MILLS INC,2007,GIS,27.91,29.04,1.13,4.05,1.37,1.09,-0.28,29.29,28.85,-0.44,-1.5,0.87,0.79,-0.08,30.09,29.65,-0.44,-1.46,0.26,0.34,0.08,GIS,2759,2000,6,8
Kendall Powell,GENERAL MILLS INC,2017,GIS,63.77,53.98,-9.79,-15.35,4.15,4.15,0.0,59.84,55.96,-3.88,-6.48,1.72,1.39,-0.33,57.82,56.59,-1.23,-2.13,0.37,0.5,0.13,GIS,28542,2002,5,16
Daniel Akerson,GENERAL MOTORS CO,2014,GM,33.51,34.57,1.06,3.16,4.01,2.31,-1.7,37.78,36.68,-1.1,-2.91,2.21,1.92,-0.29,40.4,38.76,-1.64,-4.06,0.96,1.56,0.6,GM,407,2010,1,5
William Stevens,GENUINE PARTS CO,2014,GPC,85.44,92.76,7.32,8.57,2.96,6.42,3.46,87.95,101.27,13.32,15.14,3.01,3.63,0.62,89.99,100.2,10.21,11.35,3.44,1.47,-1.97,GPC,43871,2012,11,3
Timothy Breen,GENUINE PARTS CO,2018,GPC,91.11,96.19,5.08,5.58,4.93,4.75,-0.18,91.34,96.64,5.3,5.8,3.92,5.79,1.87,93.86,102.39,8.53,9.09,1.17,3.49,2.32,GPC,48600,2015,1,4
Richard Keyser,GRAINGER (W W) INC,2008,GWW,85.39,80.49,-4.9,-5.74,6.09,8.25,2.16,81.45,82.84,1.39,1.71,6.08,6.05,-0.03,76.62,75.68,-0.94,-1.23,1.96,2.59,0.63,GWW,2276,2000,3,9
Robert Harl,HALLIBURTON CO,2003,HAL,7.81,11.26,3.45,44.17,1.23,1.06,-0.17,8.63,9.79,1.16,13.44,1.17,0.43,-0.74,9.85,9.38,-0.47,-4.77,0.36,0.22,-0.14,HAL,23332,2001,1,3
Edgar Ortiz,HALLIBURTON CO,2002,HAL,16.58,7.81,-8.77,-52.9,4.7,1.23,-3.47,10.33,7.24,-3.09,-29.91,2.36,1.22,-1.14,7.41,5.9,-1.51,-20.38,1.78,0.75,-1.03,HAL,23333,2001,1,2
John Gibson,HALLIBURTON CO,2004,HAL,15.3,24.67,9.37,61.24,1.67,4.64,2.97,17.41,20.28,2.87,16.48,1.58,0.89,-0.69,19.14,19.61,0.47,2.46,0.91,0.26,-0.65,HAL,26111,2003,12,2
Phillip Farmer,L3HARRIS TECHNOLOGIES INC,2003,LHX,15.41,15.19,-0.22,-1.43,1.84,1.67,-0.17,12.9,13.87,0.97,7.52,1.36,0.67,-0.69,11.94,13.89,1.95,16.33,0.31,0.71,0.4,LHX,2416,2000,1,4
Brian Goldner,HASBRO INC,2021,HAS,94.24,88.82,-5.42,-5.75,4.33,8.03,3.7,97.12,96.11,-1.01,-1.04,2.68,4.36,1.68,96.25,90.97,-5.28,-5.49,2.93,2.94,0.01,HAS,21212,2000,10,22
Darren Throop,HASBRO INC,2022,HAS,92.14,63.02,-29.12,-31.6,6.61,8.56,1.95,84.85,74.27,-10.58,-12.47,4.41,6.43,2.02,80.86,80.3,-0.56,-0.69,2.05,1.93,-0.12,HAS,59810,2020,8,3
Richard Stoddart,HASBRO INC,2022,HAS,96.05,80.37,-15.68,-16.32,3.15,12.4,9.25,96.0,93.6,-2.4,-2.5,4.41,5.71,1.3,99.29,98.3,-0.99,-1.0,1.75,4.87,3.12,HAS,62158,2021,1,2
Thomas DeRosa,WELLTOWER INC,2020,WELL,81.33,57.9,-23.43,-28.81,10.53,8.16,-2.37,73.78,49.35,-24.43,-33.11,17.28,5.87,-11.41,53.97,47.07,-6.9,-12.78,14.53,4.89,-9.64,WELL,26115,2014,4,7
Bernardo Hees,KRAFT HEINZ CO,2019,KHC,53.03,29.51,-23.52,-44.35,8.83,2.85,-5.98,40.75,31.5,-9.25,-22.7,7.14,1.6,-5.54,32.42,32.92,0.5,1.54,0.41,0.31,-0.1,KHC,41083,2013,4,7
John Paul Bilbrey,HERSHEY CO,2017,HSY,96.91,108.53,11.62,11.99,7.57,3.0,-4.57,98.75,107.23,8.48,8.59,2.89,1.77,-1.12,101.01,105.04,4.03,3.99,2.44,0.77,-1.67,HSY,30900,2006,1,12
Carleton Fiorina,HP INC,2005,HPQ,9.44,11.04,1.6,16.95,0.91,1.54,0.63,8.97,9.3,0.33,3.68,0.49,0.29,-0.2,9.52,9.16,-0.36,-3.78,0.1,0.25,0.15,HPQ,17976,2000,1,6
Mark Hurd,HP INC,2010,HPQ,18.35,20.99,2.64,14.39,3.14,2.13,-1.01,22.39,23.19,0.8,3.57,0.85,0.85,0.0,23.13,23.19,0.06,0.26,0.63,0.85,0.22,HPQ,18929,2005,1,6
Margaret Whitman,HP INC,2015,HPQ,15.92,12.22,-3.7,-23.24,1.31,1.21,-0.1,14.54,12.62,-1.92,-13.2,0.63,0.64,0.01,13.88,12.92,-0.96,-6.92,0.1,0.57,0.47,HPQ,5706,2011,8,5
Leo Apotheker,HP INC,2011,HPQ,18.17,10.85,-7.32,-40.29,2.24,1.47,-0.77,15.19,11.47,-3.72,-24.49,1.73,0.84,-0.89,13.35,10.53,-2.82,-21.12,1.72,0.28,-1.44,HPQ,42515,2011,9,1
Dion Weisler,HP INC,2019,HPQ,21.95,18.34,-3.61,-16.45,2.13,2.3,0.17,20.22,18.17,-2.05,-10.14,0.94,0.98,0.04,21.21,18.83,-2.38,-11.22,0.3,0.67,0.37,HPQ,45434,2013,8,7
Mark Wang,HILTON WORLDWIDE HOLDINGS,2016,HLT,54.47,46.06,-8.41,-15.44,5.1,4.54,-0.56,48.6,40.73,-7.87,-16.19,2.86,3.55,0.69,45.32,38.22,-7.1,-15.67,1.36,2.34,0.98,HLT,44893,2012,1,5
Robert Nardelli,HOME DEPOT INC,2006,HD,40.1,38.26,-1.84,-4.59,1.88,2.77,0.89,40.76,41.39,0.63,1.55,1.52,1.24,-0.28,41.53,40.88,-0.65,-1.57,0.56,0.92,0.36,HD,21436,2000,1,7
Craig Menear,HOME DEPOT INC,2022,HD,326.31,310.33,-15.98,-4.9,40.56,29.02,-11.54,380.69,346.16,-34.53,-9.07,27.28,29.46,2.18,404.88,376.88,-28.0,-6.92,8.63,20.38,11.75,HD,32642,2006,1,17
Joel Johnson,HORMEL FOODS CORP,2006,HRL,7.84,8.89,1.05,13.39,0.3,0.41,0.11,8.16,8.45,0.29,3.55,0.28,0.13,-0.15,8.13,8.39,0.26,3.2,0.07,0.07,0.0,HRL,1373,2000,1,7
Jeffrey Ettinger,HORMEL FOODS CORP,2016,HRL,37.34,35.21,-2.13,-5.7,3.8,1.59,-2.21,36.27,36.98,0.71,1.96,1.32,1.23,-0.09,37.37,37.34,-0.03,-0.08,1.05,0.84,-0.21,HRL,27334,2002,9,15
R. Letbetter,CENTERPOINT ENERGY INC,2002,CNP,29.6,13.62,-15.98,-53.99,6.43,5.81,-0.62,22.7,20.47,-2.23,-9.82,1.09,1.69,0.6,21.45,21.86,0.41,1.91,0.71,0.51,-0.2,CNP,2516,2000,1,3
David McClanahan,CENTERPOINT ENERGY INC,2013,CNP,22.3,24.09,1.79,8.03,1.78,0.66,-1.12,23.83,24.01,0.18,0.76,0.73,0.78,0.05,23.45,24.42,0.97,4.14,0.61,0.32,-0.29,CNP,10794,2000,10,14
Gary Whitlock,CENTERPOINT ENERGY INC,2015,CNP,24.06,19.6,-4.46,-18.54,0.7,1.75,1.05,23.87,21.83,-2.04,-8.55,0.86,1.01,0.15,23.21,22.92,-0.29,-1.25,0.76,0.29,-0.47,CNP,24690,2001,1,15
Scott Prochazka,CENTERPOINT ENERGY INC,2020,CNP,28.4,19.66,-8.74,-30.77,1.81,2.53,0.72,26.19,16.73,-9.46,-36.12,0.98,2.44,1.46,26.0,16.65,-9.35,-35.96,1.27,3.88,2.61,CNP,46887,2014,3,7
Frank Wobst,HUNTINGTON BANCSHARES,2001,HBAN,16.79,16.02,-0.77,-4.59,1.91,1.34,-0.57,14.47,15.26,0.79,5.46,0.84,0.94,0.1,15.4,16.17,0.77,5.0,0.44,0.76,0.32,HBAN,483,2000,1,2
David Speer,ILLINOIS TOOL WORKS,2012,ITW,54.33,67.36,13.03,23.98,4.67,5.84,1.17,59.27,61.75,2.48,4.18,1.71,1.43,-0.28,59.9,60.72,0.82,1.37,0.9,1.14,0.24,ITW,14539,2000,11,13
Paul Otellini,INTEL CORP,2013,INTC,23.17,24.31,1.14,4.92,2.46,1.16,-1.3,21.57,24.03,2.46,11.4,0.83,0.63,-0.2,22.22,24.12,1.9,8.55,0.98,0.16,-0.82,INTC,14770,2000,5,14
Brian Krzanich,INTEL CORP,2018,INTC,43.39,49.52,6.13,14.13,6.77,3.65,-3.12,52.2,50.85,-1.35,-2.59,1.92,2.77,0.85,54.26,53.44,-0.82,-1.51,1.0,2.65,1.65,INTC,44188,2010,6,9
Robert Swan,INTEL CORP,2021,INTC,54.89,55.85,0.96,1.75,6.41,4.54,-1.87,48.84,59.68,10.84,22.19,3.21,4.11,0.9,49.32,55.1,5.78,11.72,1.73,3.35,1.62,INTC,26136,2016,1,6
Virginia Rometty,INTL BUSINESS MACHINES CORP,2020,IBM,130.96,118.93,-12.03,-9.19,5.9,10.07,4.17,129.97,126.05,-3.92,-3.02,3.01,16.84,13.83,128.1,131.79,3.69,2.88,1.09,2.8,1.71,IBM,35092,2008,1,13
Martin Schroeter,INTL BUSINESS MACHINES CORP,2019,IBM,134.39,132.02,-2.37,-1.76,12.7,4.35,-8.35,115.62,133.24,17.62,15.24,5.69,2.6,-3.09,119.11,131.1,11.99,10.07,6.83,1.97,-4.86,IBM,46897,2014,2,6
Richard Goldstein,INTL FLAVORS & FRAGRANCES,2006,IFF,34.92,43.89,8.97,25.69,1.57,5.68,4.11,35.05,36.27,1.22,3.48,0.71,1.75,1.04,35.65,34.87,-0.78,-2.19,0.3,0.34,0.04,IFF,21439,2000,6,7
Arthur Martinez,INTL FLAVORS & FRAGRANCES,2006,IFF,34.92,43.89,8.97,25.69,1.57,5.68,4.11,35.05,36.27,1.22,3.48,0.71,1.75,1.04,35.65,34.87,-0.78,-2.19,0.3,0.34,0.04,IFF,1535,2006,6,1
Robert Amen,INTL FLAVORS & FRAGRANCES,2009,IFF,32.21,43.14,10.93,33.93,4.06,3.69,-0.37,33.9,38.89,4.99,14.72,1.77,1.64,-0.13,36.13,37.44,1.31,3.63,0.51,1.31,0.8,IFF,23216,2006,9,4
Douglas Tough,INTL FLAVORS & FRAGRANCES,2014,IFF,84.99,104.58,19.59,23.05,5.54,8.01,2.47,92.94,101.53,8.59,9.24,3.14,2.69,-0.45,94.9,98.2,3.3,3.48,1.75,0.86,-0.89,IFF,40855,2010,5,5
Andreas Fibig,INTL FLAVORS & FRAGRANCES,2022,IFF,141.47,117.55,-23.92,-16.91,9.5,14.98,5.48,145.67,132.83,-12.84,-8.81,4.02,7.91,3.89,145.11,140.36,-4.75,-3.27,2.84,5.95,3.11,IFF,46900,2014,1,9
John Dillon,INTL PAPER CO,2003,IP,37.02,35.18,-1.84,-4.97,3.25,2.04,-1.21,33.39,33.38,-0.01,-0.03,1.49,1.11,-0.38,33.41,34.15,0.74,2.21,1.15,1.03,-0.12,IP,1174,2000,1,4
John Dooner,INTERPUBLIC GROUP OF COS,2009,IPG,7.61,5.53,-2.08,-27.33,1.94,1.22,-0.72,4.57,3.79,-0.78,-17.07,1.02,0.37,-0.65,3.88,3.76,-0.12,-3.09,0.23,0.34,0.11,IPG,11019,2000,1,10
J. Ryan,INTERPUBLIC GROUP OF COS,2002,IPG,31.8,23.43,-8.37,-26.32,6.84,7.69,0.85,25.35,30.08,4.73,18.66,3.66,2.47,-1.19,28.9,28.48,-0.42,-1.45,1.05,0.6,-0.45,IPG,9991,2001,1,2
Stephen Gatfield,INTERPUBLIC GROUP OF COS,2006,IPG,11.91,9.86,-2.05,-17.21,1.22,1.09,-0.13,10.12,10.08,-0.04,-0.4,0.67,0.21,-0.46,9.53,10.06,0.53,5.56,0.2,0.15,-0.05,IPG,28858,2004,1,3
Nicolas Brien,INTERPUBLIC GROUP OF COS,2011,IPG,8.83,10.45,1.62,18.35,1.32,1.76,0.44,10.62,11.82,1.2,11.3,0.24,0.76,0.52,10.85,10.93,0.08,0.74,0.16,0.22,0.06,IPG,41200,2010,1,2
Ralph Larsen,JOHNSON & JOHNSON,2002,JNJ,51.93,57.64,5.71,11.0,4.76,4.27,-0.49,57.97,60.12,2.15,3.71,1.84,3.06,1.22,57.59,58.29,0.7,1.22,1.57,0.86,-0.71,JNJ,516,2000,1,3
Stephen Roell,JOHNSON CONTROLS INTL PLC,2013,JCI,28.15,35.56,7.41,26.32,1.37,2.61,1.24,29.33,32.61,3.28,11.18,0.84,0.77,-0.07,30.18,31.96,1.78,5.9,0.45,0.54,0.09,JCI,2660,2000,1,14
Alex Molinaroli,JOHNSON CONTROLS INTL PLC,2017,JCI,43.29,37.41,-5.88,-13.58,1.87,2.4,0.53,42.32,40.0,-2.32,-5.48,1.06,1.27,0.21,43.05,38.76,-4.29,-9.97,1.56,0.81,-0.75,JCI,36409,2009,8,9
Kenneth Schroeder,KLA CORP,2006,KLAC,47.18,47.02,-0.16,-0.34,3.32,4.36,1.04,49.87,51.59,1.72,3.45,2.15,1.72,-0.43,51.51,52.35,0.84,1.63,1.54,1.09,-0.45,KLAC,13929,2000,1,7
David Wittig,EVERGY INC,2002,EVRG,20.65,13.98,-6.67,-32.3,3.13,3.02,-0.11,17.02,16.97,-0.05,-0.29,0.33,0.42,0.09,17.12,17.05,-0.07,-0.41,0.12,0.31,0.19,EVRG,13396,2000,1,3
James Haines,EVERGY INC,2007,EVRG,22.81,25.98,3.17,13.9,1.97,1.28,-0.69,25.55,26.75,1.2,4.7,1.12,0.77,-0.35,26.56,26.02,-0.54,-2.03,0.26,0.41,0.15,EVRG,2187,2002,1,6
Mark Ruelle,EVERGY INC,2017,EVRG,52.5,53.04,0.54,1.03,5.03,1.83,-3.2,56.85,54.44,-2.41,-4.24,0.35,0.73,0.38,56.73,55.04,-1.69,-2.98,0.46,0.45,-0.01,EVRG,15284,2003,1,15
Carlos Gutierrez,KELLANOVA,2005,K,38.88,41.94,3.06,7.87,1.9,0.85,-1.05,41.01,41.35,0.34,0.83,0.88,0.65,-0.23,41.43,41.74,0.31,0.75,0.43,0.33,-0.1,K,12459,2000,1,6
Allan MacKay,KELLANOVA,2010,K,48.95,50.21,1.26,2.57,1.7,2.06,0.36,46.93,48.36,1.43,3.05,0.67,1.15,0.48,46.25,47.46,1.21,2.62,0.39,0.76,0.37,K,23139,2000,12,11
James Jenness,KELLANOVA,2006,K,41.94,44.46,2.52,6.01,0.85,2.35,1.5,42.1,41.48,-0.62,-1.47,0.82,0.75,-0.07,41.42,41.12,-0.3,-0.72,0.35,0.42,0.07,K,29077,2005,1,2
Wayne Sanders,KIMBERLY-CLARK CORP,2002,KMB,58.77,56.38,-2.39,-4.07,4.41,5.37,0.96,55.22,58.5,3.28,5.94,2.07,2.27,0.2,56.08,56.2,0.12,0.21,0.9,0.89,-0.01,KMB,532,2000,1,3
Thomas Falk,KIMBERLY-CLARK CORP,2019,KMB,125.99,141.33,15.34,12.18,10.7,8.25,-2.45,137.14,137.06,-0.08,-0.06,3.6,4.21,0.61,136.22,132.69,-3.53,-2.59,3.22,1.83,-1.39,KMB,5780,2000,11,20
David Dillon,KROGER CO,2014,KR,23.46,36.1,12.64,53.88,3.02,2.19,-0.83,27.19,33.42,6.23,22.91,1.37,2.13,0.76,29.11,31.19,2.08,7.15,0.37,0.87,0.5,KR,2771,2000,12,15
Martin Anstice,LAM RESEARCH CORP,2019,LRCX,17.61,20.86,3.25,18.46,2.45,4.02,1.57,14.33,16.71,2.38,16.61,0.73,1.61,0.88,13.7,14.89,1.19,8.69,0.84,1.34,0.5,LRCX,30439,2004,1,16
John Lechleiter,LILLY (ELI) & CO,2016,LLY,79.64,79.05,-0.59,-0.74,5.09,4.29,-0.8,75.29,80.06,4.77,6.34,1.41,1.54,0.13,74.66,80.81,6.15,8.24,1.43,1.43,0.0,LLY,23011,2000,7,17
Jerry Stritzke,BATH & BODY WORKS INC,2004,BBWI,12.31,16.85,4.54,36.88,1.66,1.88,0.22,14.12,15.31,1.19,8.43,0.44,0.61,0.17,14.36,14.51,0.15,1.04,0.23,0.16,-0.07,BBWI,28013,2004,1,1
Sharen Turney,BATH & BODY WORKS INC,2015,BBWI,50.83,72.64,21.81,42.91,7.41,4.14,-3.27,61.7,72.28,10.58,17.15,5.4,3.23,-2.17,67.51,68.24,0.73,1.08,1.4,1.43,0.03,BBWI,31103,2006,1,10
Diane Neal,BATH & BODY WORKS INC,2010,BBWI,10.65,20.93,10.28,96.53,3.12,2.98,-0.14,14.81,17.52,2.71,18.3,0.69,1.86,1.17,15.19,15.63,0.44,2.9,0.55,0.49,-0.06,BBWI,32676,2007,1,4
Stuart Burgdoerfer,BATH & BODY WORKS INC,2021,BBWI,28.91,60.59,31.68,109.58,12.93,8.37,-4.56,46.8,56.59,9.79,20.92,5.81,3.58,-2.23,53.03,54.53,1.5,2.83,1.46,1.56,0.1,BBWI,32677,2007,5,15
Charles McGuigan,BATH & BODY WORKS INC,2020,BBWI,15.99,28.91,12.92,80.8,3.47,12.93,9.46,13.73,12.87,-0.86,-6.26,4.63,2.62,-2.01,9.93,10.62,0.69,6.95,1.18,1.89,0.71,BBWI,42547,2011,5,10
Nicholas Coe,BATH & BODY WORKS INC,2018,BBWI,39.99,29.16,-10.83,-27.08,5.8,5.83,0.03,40.41,37.82,-2.59,-6.41,5.62,4.09,-1.53,47.57,41.4,-6.17,-12.97,1.89,2.43,0.54,BBWI,44202,2012,1,7
Martin Waters,BATH & BODY WORKS INC,2018,BBWI,39.99,29.16,-10.83,-27.08,5.8,5.83,0.03,40.41,37.82,-2.59,-6.41,5.62,4.09,-1.53,47.57,41.4,-6.17,-12.97,1.89,2.43,0.54,BBWI,50907,2016,1,3
Andrew Meslow,BATH & BODY WORKS INC,2022,BBWI,60.59,38.22,-22.37,-36.92,8.37,5.6,-2.77,51.66,36.65,-15.01,-29.06,3.91,8.36,4.45,51.02,46.04,-4.98,-9.76,3.67,6.04,2.37,BBWI,59835,2020,5,3
Sarah Nash,BATH & BODY WORKS INC,2022,BBWI,60.59,38.22,-22.37,-36.92,8.37,5.6,-2.77,51.66,36.65,-15.01,-29.06,3.91,8.36,4.45,51.02,46.04,-4.98,-9.76,3.67,6.04,2.37,BBWI,63561,2022,5,1
Vance Coffman,LOCKHEED MARTIN CORP,2004,LMT,50.06,60.74,10.68,21.33,3.39,2.76,-0.63,54.22,57.47,3.25,5.99,0.99,2.18,1.19,54.72,58.15,3.43,6.27,1.28,1.69,0.41,LMT,2790,2000,11,5
Robert Stevens,LOCKHEED MARTIN CORP,2013,LMT,88.75,112.86,24.11,27.17,3.8,18.15,14.35,92.22,90.77,-1.45,-1.57,1.65,3.0,1.35,91.81,92.66,0.85,0.93,1.06,2.6,1.54,LMT,20910,2000,1,14
Christopher Kubasik,LOCKHEED MARTIN CORP,2012,LMT,79.09,89.87,10.78,13.63,5.23,3.42,-1.81,86.17,86.29,0.12,0.14,3.48,3.33,-0.15,89.34,90.26,0.92,1.03,0.83,1.0,0.17,LMT,29263,2003,4,10
Marillyn Hewson,LOCKHEED MARTIN CORP,2021,LMT,379.96,358.92,-21.04,-5.54,27.63,19.59,-8.04,367.6,343.53,-24.07,-6.55,12.03,10.97,-1.06,356.88,339.15,-17.73,-4.97,5.01,7.98,2.97,LMT,40864,2010,1,12
Robert Tillman,LOWE'S COS INC,2004,LOW,23.54,26.96,3.42,14.53,3.87,1.45,-2.42,28.56,27.38,-1.18,-4.13,0.89,0.83,-0.06,27.7,26.92,-0.78,-2.82,0.63,0.6,-0.03,LOW,2833,2000,1,5
Robert Niblock,LOWE'S COS INC,2018,LOW,84.02,100.07,16.05,19.1,7.95,8.39,0.44,89.45,95.11,5.66,6.33,5.68,5.76,0.08,85.38,88.67,3.29,3.85,1.98,5.26,3.28,LOW,26697,2003,5,16
Christopher Nassetta,HOST HOTELS & RESORTS INC,2007,HST,23.84,16.39,-7.45,-31.25,1.73,2.59,0.86,22.05,19.53,-2.52,-11.43,1.21,2.03,0.82,21.58,21.92,0.34,1.58,0.51,0.62,0.11,HST,31068,2006,10,2
